id;street_address;postal_code;city;state_province
1;while heavily;developing balloon staid;Camdentown;rudely blowgun near
2;grotesque regularly slushy;patio because at;Port Benedictworth;lady await goal
3;at;brace package;West Moses;whether wasteful or
4;circular railing;efface;Lake Rowena;sideline
5;tense;lest for why;Bethlehem;uh-huh mortally always
6;beneficial after yawningly;wisely;Noemistad;cultured ick so
7;aboard gah anti;treble slump regime;Spokane Valley;openly revolve disrobe
8;quest promptly under;gentle carp yippee;Port Lavina;fake
9;mmm;mmm;Johnsview;cackle inside
10;gadzooks near grammar;gee cautiously;Carolynecester;gadzooks
